Member,Link to profile,Current level,Total time on level (months),Total time as member (months),Last update,Last update timestamp,Price version timestamp,Price
Bernardo Martins,https://www.youtube.com/channel/UCEhZjVL5uTf8KF77jCwZjkg,Membro VIP,0.1,0.1,Upgraded,2026-06-05T07:07:36.998-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Alekzin,https://www.youtube.com/channel/UCnlqCLNGQo5yLjhz26lMFUQ,Membro VIP,0.1,0.1,Joined,2026-06-05T06:35:21.029-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
SkiperGMC,https://www.youtube.com/channel/UCkdq0HY91mYFnN7_wyTtocg,Membro VIP,0.1,0.1,Joined,2026-06-05T05:29:00.865-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
luiscomz,https://www.youtube.com/channel/UC64o9PDaI_Jpjg39HDMhwUw,Membro VIP,2.13333,2.13333,Re-joined,2026-06-04T14:24:50.028-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Luis Gustavo,https://www.youtube.com/channel/UCFE0Z8cGDIGDn3hYnUvEJiw,Membro VIP,6.13333,6.13333,Re-joined,2026-06-04T00:54:35.518-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Tonyzz,https://www.youtube.com/channel/UC233uInAuQJqOJ8NUTkCImA,Membro VIP,2.13333,2.13333,Re-joined,2026-06-03T17:54:41.963-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Pyetro Mammoccio Ferreira,https://www.youtube.com/channel/UC_k6NWwKAHTuLUIGIoVqwow,Membro VIP,1.16667,1.16667,Re-joined,2026-06-03T16:46:19.445-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Ber,https://www.youtube.com/channel/UCHzohLIbd5G5dtir_SfqMYQ,Membro VIP,0.166667,0.166667,Joined,2026-06-03T14:44:08.029-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Wesley (we ley),https://www.youtube.com/channel/UCm7s68CGK33TMUh2w-o1sDA,Membro VIP,1.16667,1.16667,Re-joined,2026-06-03T14:05:19.902-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Shadow Dragon God,https://www.youtube.com/channel/UC1zFhEKTkEB3FpnzcM55Q5A,MEMBRO SUPREMO,5.16667,5.16667,Re-joined,2026-06-03T13:20:41.905-07:00,2026-05-01T13:56:52.87304297-07:00,R$399.99
Gabriel de Freitas,https://www.youtube.com/channel/UCRXNF_S9bgMGSKt4w1eMsTA,Membro VIP,0.166667,0.166667,Joined,2026-06-03T09:03:37.186-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Anne 123,https://www.youtube.com/channel/UC1reVeuZHA9gqw1wHXIhj1g,Membro VIP,1.16667,1.16667,Re-joined,2026-06-03T07:30:14.873-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Lucas Carvalhais,https://www.youtube.com/channel/UCRP72FMyhC_IadTtx9VPr_Q,Membro VIP,0.166667,0.166667,Joined,2026-06-03T04:32:45.567-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Nicolas Medeiros,https://www.youtube.com/channel/UCe73TsezhAOIRJa8ZKeyGCg,Membro VIP,1.16667,1.16667,Re-joined,2026-06-03T00:49:51.686-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Raumi Niji,https://www.youtube.com/channel/UC8qKzzoa4TTrp7n19nMb-Ew,Membro VIP,1.2,1.2,Re-joined,2026-06-02T16:31:17.22-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Isaac Games,https://www.youtube.com/channel/UCwQ9GJ-CS0EKpvjFN_nWfUw,Membro VIP,0.2,0.2,Re-joined,2026-06-02T10:26:30.053-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
KradKrow,https://www.youtube.com/channel/UCNPE4RmJqsnI7SZC7uycD-w,Membro VIP,3.2,3.2,Re-joined,2026-06-02T09:24:47.87-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Andre Moreira,https://www.youtube.com/channel/UCJE6CP-Kd842IuHAWm0FmPQ,Membro VIP,0.2,0.2,Joined,2026-06-02T06:34:50.15-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Vinini 00,https://www.youtube.com/channel/UC30_77hFdCT4fblwJ4bF5iw,Membro VIP,2.2,2.2,Re-joined,2026-06-01T22:09:15.651-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Hachiro,https://www.youtube.com/channel/UCYxEpMWJX_j9aTX6gZliT_Q,Membro VIP,0.2,0.2,Joined,2026-06-01T17:59:36.942-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Gabriel Malta Rodrigues,https://www.youtube.com/channel/UCe3kjLa10R-CjGQ1HciXzUg,Membro VIP,0.2,0.2,Joined,2026-06-01T17:22:53.505-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Doctor Who 7ee,https://www.youtube.com/channel/UCTpFr_YY2qpfxPmA2mwOGUg,Colecionador de Selos,0.2,0.2,Joined,2026-06-01T17:21:59.563-07:00,2026-05-01T13:56:52.87304297-07:00,R$3.99
,,Colecionador de Selos,2.2,2.2,Re-joined,2026-06-01T17:10:35.64-07:00,2022-08-20T12:49:12.662044037-07:00,R$2.99
Devekh,https://www.youtube.com/channel/UCeFRRMbwLc8xyG3VBIDupvg,Membro VIP,0.0333333,0.233333,Upgraded,2026-06-07T06:51:53.366-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Sr. Otory,https://www.youtube.com/channel/UCbSHPkRS0IRqI_GUwix_yFQ,Membro VIP,1.23333,1.23333,Re-joined,2026-06-01T15:46:50.842-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Corujorel,https://www.youtube.com/channel/UCa3R8YK05pxS1FtVEyLUacw,Colecionador de Selos,0.233333,0.233333,Joined,2026-06-01T15:38:31.641-07:00,2026-05-01T13:56:52.87304297-07:00,R$3.99
Jayme Junior,https://www.youtube.com/channel/UCVcczjoIf5nf6yMRlAAnstw,Membro VIP,0.233333,0.233333,Joined,2026-06-01T11:42:01.44-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Heron Lima,https://www.youtube.com/channel/UCaqI3zgFMS_vyn1gev4XR_g,Membro VIP,1.23333,1.23333,Re-joined,2026-06-01T11:32:12.977-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
LEOnas,https://www.youtube.com/channel/UCiZxZXe23kqqICiU6vcM1jQ,Membro VIP,3.23333,3.23333,Re-joined,2026-06-01T10:09:21.934-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
davizin_S2,https://www.youtube.com/channel/UChx_kKrctxub7UjrEGwgSrg,Membro VIP,2.23333,2.23333,Re-joined,2026-05-31T23:23:50.579-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
LeoPSilva118,https://www.youtube.com/channel/UCZVGxh6VbGYk-6J6oDf7Vow,Membro VIP,14.1667,14.1667,Re-joined,2026-05-31T20:15:29.868-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
George Samuel,https://www.youtube.com/channel/UCMtKLLu-imhoCb37coyvzpw,Membro VIP,1.23333,1.23333,Re-joined,2026-05-31T17:05:35.23-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
João Lucas,https://www.youtube.com/channel/UCKgql8N8R-4coDQ59JoLBcg,Membro VIP,0.266667,0.266667,Joined,2026-05-31T16:49:51.886-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Everton,https://www.youtube.com/channel/UCqO21c1G9X4QZ2MdLLew5rw,Membro VIP,3.26667,3.26667,Re-joined,2026-05-31T11:36:05.771-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Izumi Norochi,https://www.youtube.com/channel/UC5mp6HZv2lctisxFz-Xwo_g,Membro VIP,1.26667,1.26667,Re-joined,2026-05-31T07:43:45.27-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Lucas,https://www.youtube.com/channel/UC0nAfvgRFkhww28LI92XI9A,Membro VIP,6.26667,6.26667,Re-joined,2026-05-30T18:32:56.608-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
X0431,https://www.youtube.com/channel/UCknJy3yKhRUKMi9PW8ettyQ,Membro VIP,0.290323,0.290323,Joined,2026-05-30T16:02:28.73-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
rafael,https://www.youtube.com/channel/UCg8CUkARGTg2oPr1qRFB6QA,Colecionador de Selos,0.290323,0.290323,Joined,2026-05-30T14:02:46.516-07:00,2026-05-01T13:56:52.87304297-07:00,R$3.99
Luiz64,https://www.youtube.com/channel/UCKOcrDZ8dW6uEQyruNdNo3g,Membro VIP,0.258065,0.290323,Upgraded,2026-05-30T17:24:05.272-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Thenky 404,https://www.youtube.com/channel/UCn1Sm3IwqD89I71uSs_4nkg,Membro VIP,5.29032,5.29032,Re-joined,2026-05-30T13:37:58.701-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
marcos Overlord,https://www.youtube.com/channel/UCwww2cQYqFwZ7qGV9o5o9ow,Membro VIP,0.290323,1.29032,Re-joined,2026-05-30T10:28:07.98-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Garfield ,https://www.youtube.com/channel/UCZaev0WarcSDT4KMyw6s5Bw,Membro VIP,0.290323,0.290323,Upgraded,2026-05-30T09:42:07.233-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Victor....,https://www.youtube.com/channel/UCNftVBnhtewib3LzawOaG7g,Membro VIP,0.290323,0.290323,Joined,2026-05-30T08:06:30.384-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Bismarck Moreira,https://www.youtube.com/channel/UCVPmogYvUC53y0kVNR-I0IA,Membro VIP,0.290323,0.290323,Joined,2026-05-30T07:43:37.097-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Nagatoro Rosso,https://www.youtube.com/channel/UC72S4dTBWEUJj9--RuGa9yQ,Membro VIP,0.290323,0.290323,Joined,2026-05-30T07:39:17.082-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Marina,https://www.youtube.com/channel/UC47rzTXuVWopfd3TXjQ2neQ,Membro VIP,0.290323,0.290323,Joined,2026-05-30T05:45:06.566-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Gustavo Leão Nogueira,https://www.youtube.com/channel/UCdp6D76PoRElfR1i9V5Rwmg,Membro VIP,6.29032,6.29032,Re-joined,2026-05-30T03:55:58.545-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Tr4sFrenteKKJ,https://www.youtube.com/channel/UCe0n4RpSvutc80GPuj7L9iQ,Membro VIP,1.29032,1.29032,Re-joined,2026-05-30T03:23:15.39-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Luiz Felipe,https://www.youtube.com/channel/UC1ob7uW4XgP9TDzj0i8poEg,Colecionador de Selos,0.290323,0.290323,Joined,2026-05-29T20:37:39.605-07:00,2026-05-01T13:56:52.87304297-07:00,R$3.99
F3llix_,https://www.youtube.com/channel/UCfAdP6UU7cFyTWVsZnpjh8w,Colecionador de Selos,0.290323,0.290323,Joined,2026-05-29T19:29:45.403-07:00,2026-05-01T13:56:52.87304297-07:00,R$3.99
FutVerdades,https://www.youtube.com/channel/UCbt2Ul2qDosxG3VrJ-GTZ2w,Membro VIP,1.29032,1.29032,Re-joined,2026-05-29T17:04:39.011-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Vinícius Barcellos,https://www.youtube.com/channel/UCMAof5Y_ArUAq3VvhWocJdA,Membro VIP,13.3226,13.3226,Re-joined,2026-05-29T16:55:15.292-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
JunimTV,https://www.youtube.com/channel/UCjSV2YDOzPFdTHxBLqviCWw,Membro VIP,4.58065,4.87097,Upgraded,2026-06-07T16:51:54.772-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Vitor Einhardt,https://www.youtube.com/channel/UCaqJBoX_zsxIPKAI8Ovem-w,Membro VIP,0.322581,0.322581,Joined,2026-05-29T08:30:00.398-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Gusta,https://www.youtube.com/channel/UCgCuGRBzikGgnwWiNKVU-5Q,Membro VIP,0.322581,0.322581,Joined,2026-05-29T07:42:22.467-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Cristiane ALBANESE,https://www.youtube.com/channel/UCN03ZKDUxEBAcuZ40eXeu-Q,Membro VIP,2.32258,2.32258,Re-joined,2026-05-29T04:46:23.117-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Vanta Ricardo,https://www.youtube.com/channel/UCMbBQNC_H7Coui-YxD57JXA,Colecionador de Selos,0.322581,0.322581,Joined,2026-05-29T04:27:58.376-07:00,2026-05-01T13:56:52.87304297-07:00,R$3.99
¥anexus€,https://www.youtube.com/channel/UCfTymr3lRjxW8m3Qy5Yqgxg,Membro VIP,2.32258,2.32258,Re-joined,2026-05-28T21:02:27.274-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Vini HD,https://www.youtube.com/channel/UCYdM1r8tQQ1cr8B6zvYR8Rg,Membro VIP,0.322581,0.322581,Upgraded,2026-05-28T20:59:18.322-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Fm Gamer,https://www.youtube.com/channel/UCRb7xlI9o4hib7jp8ySCJQw,Membro VIP,4.32258,4.32258,Re-joined,2026-05-28T20:47:26.723-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Solo de Guitar,https://www.youtube.com/channel/UCGDwQa0vmWKAWgJnFwZ2NRQ,Membro VIP,6.25591,6.25591,Re-joined,2026-05-28T18:52:19.225-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
passo,https://www.youtube.com/channel/UC6-Fi1waGHNrR15KGn4p4tA,Membro VIP,3.35484,3.35484,Re-joined,2026-05-28T15:33:01.096-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Amanda Alves,https://www.youtube.com/channel/UCqldNjrjK9zh_Vmv3NL63hA,Membro VIP,0.354839,1.35484,Re-joined,2026-05-28T11:25:35.344-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
uri madter,https://www.youtube.com/channel/UCU1yUo-7SxUlujJ7HYNV02A,Membro VIP,0.354839,0.354839,Joined,2026-05-28T10:43:17.64-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
marcelo santos,https://www.youtube.com/channel/UCqT6cEThJsJRh2O-ltGNbGQ,Membro VIP,3.35484,3.35484,Re-joined,2026-05-28T10:06:49.496-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Abel Avila,https://www.youtube.com/channel/UC6Pq457Ccz-AoNSQ6Omh8OA,Membro VIP,1.35484,1.35484,Re-joined,2026-05-28T07:57:01.51-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Sr_Max8559,https://www.youtube.com/channel/UCh_0TEJhZB03vFqyvNa9iFw,Membro VIP,6.35484,6.35484,Re-joined,2026-05-28T00:44:23.488-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Ladeirabaixo,https://www.youtube.com/channel/UC6Jep-71QrbSSxasWCGfhjQ,Membro VIP,1.3871,1.3871,Re-joined,2026-05-27T16:48:28.741-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Erick Santos,https://www.youtube.com/channel/UCwvIgiOx_mi6-5vW02DN-Hg,Membro VIP,0.225806,0.387097,Upgraded,2026-06-01T07:06:10.253-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
 Pau_linho ,https://www.youtube.com/channel/UCqjayc60IcKfnKF49vnrCPw,Colecionador de Selos,1.3871,1.3871,Re-joined,2026-05-27T10:33:25.042-07:00,2026-05-01T13:56:52.87304297-07:00,R$3.99
Thalisso thek,https://www.youtube.com/channel/UC1Un3gqaTObxrO50ZE9815w,Membro VIP,2.25806,2.3871,Upgraded,2026-05-31T07:36:43.328-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Gabrimoon,https://www.youtube.com/channel/UCciNFeCu1LlciOeW2ZJxuEQ,Membro VIP,1.3871,1.3871,Upgraded,2026-05-27T02:03:09.819-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
Glalie sz,https://www.youtube.com/channel/UC0UEbzGsg13biKKjbaMa1Pw,Membro VIP,2.3871,2.3871,Re-joined,2026-05-27T01:55:34.555-07:00,2022-08-20T12:49:12.819605348-07:00,R$7.99
Área dos Nerds,https://www.youtube.com/channel/UC-yGds9P0kKy0r9PgrBh-MA,Membro VIP,0.387097,0.387097,Joined,2026-05-26T17:38:31.662-07:00,2026-05-01T13:56:52.87304297-07:00,R$7.99
